original_path,old_session,new_session,new_filename,source_type,scenario,primary_class,object_instance_ids,scene_id,capture_group_reason,label_status,review_status
data/raw/P01/S01/P01_S01_CUP_0001.jpg,S01,S01,P01_S01_CUP_0001.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_CUP_0002.jpg,S01,S01,P01_S01_CUP_0002.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_CUP_0003.jpg,S01,S01,P01_S01_CUP_0003.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_CUP_0004.jpg,S01,S01,P01_S01_CUP_0004.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_CUP_0001.jpg,S02,S01,P01_S01_CUP_0005.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_CUP_0002.jpg,S02,S01,P01_S01_CUP_0006.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_CUP_0007.jpg,S02,S01,P01_S01_CUP_0007.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S03/P01_S03_CUP_0020.jpg,S03,S01,P01_S01_CUP_0008.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S03/P01_S03_CUP_0021.jpg,S03,S01,P01_S01_CUP_0009.jpg,existing_old,basic,cup,cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_LAP_0005.jpg,S01,S01,P01_S01_LAP_0001.jpg,existing_old,basic,laptop,laptop_lenovo_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_LAP_0006.jpg,S01,S01,P01_S01_LAP_0002.jpg,existing_old,basic,laptop,laptop_lenovo_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_LAP_0007.jpg,S01,S01,P01_S01_LAP_0003.jpg,existing_old,basic,laptop,laptop_lenovo_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_LAP_0003.jpg,S02,S01,P01_S01_LAP_0004.jpg,existing_old,basic,laptop,laptop_lenovo_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_LAP_0005.jpg,S02,S01,P01_S01_LAP_0005.jpg,existing_old,basic,laptop,laptop_lenovo_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_LAP_0006.jpg,S02,S01,P01_S01_LAP_0006.jpg,existing_old,basic,laptop,laptop_lenovo_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_MIX_0019.jpg,S02,S01,P01_S01_LAP_0007.jpg,existing_old,basic,laptop,laptop_lenovo_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_MIX_0008.jpg,S01,S01,P01_S01_MIX_0001.jpg,existing_old,multi,mixed,laptop_lenovo_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_MIX_0009.jpg,S01,S01,P01_S01_MIX_0002.jpg,existing_old,multi,mixed,laptop_lenovo_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_MIX_0010.jpg,S01,S01,P01_S01_MIX_0003.jpg,existing_old,multi,mixed,mouse_lab_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_LAP_0004.jpg,S02,S01,P01_S01_MIX_0004.jpg,existing_old,multi,mixed,laptop_lenovo_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_MIX_0008.jpg,S02,S01,P01_S01_MIX_0005.jpg,existing_old,multi,mixed,laptop_lenovo_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_MIX_0009.jpg,S02,S01,P01_S01_MIX_0006.jpg,existing_old,multi,mixed,laptop_lenovo_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_MIX_0010.jpg,S02,S01,P01_S01_MIX_0007.jpg,existing_old,multi,mixed,mouse_lab_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_MIX_0020.jpg,S02,S01,P01_S01_MIX_0008.jpg,existing_old,multi,mixed,mouse_lab_01;laptop_lenovo_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S03/P01_S03_MIX_0023.jpg,S03,S01,P01_S01_MIX_0009.jpg,existing_old,multi,mixed,mouse_lab_01;cup_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S01/P01_S01_MOU_0011.jpg,S01,S01,P01_S01_MOU_0001.jpg,existing_old,basic,mouse,mouse_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
data/raw/P01/S02/P01_S02_MOU_0011.jpg,S02,S01,P01_S01_MOU_0002.jpg,existing_old,basic,mouse,mouse_lab_01,light_lab_table,"Visual audit: light_lab_table background, objects, and camera context form one capture group.",reused_visually_checked,approved
